fish_observation_point_id,gradient,stream_order,elevation
52045,0.0025,3,753
67443,0,6,694
175139,0.0005,2,728
230075,0,1,735
243190,0.0585,3,1097
243198,0.0585,3,1097
34683,0.005,1,749
34704,0.005,1,749
242400,0,2,749
243904,0.003,5,740
243908,0.0104,4,769
243912,0.0104,4,769
243918,0.0257,4,811
242416,0.0048,4,787
242420,0.0048,4,787
175248,0.0033,4,745
242382,0.0111,4,757
242392,0.0111,4,757
175246,0.004,5,741
67298,0.0067,5,764
67301,0.0077,5,782
67304,0.0088,4,821
175223,0,5,735
243114,0,5,742
67482,0.0022,5,746
67119,0.001,5,753
216139,0.001,5,784
243138,0.0062,5,795
243146,0.0062,5,795
216129,0.007,5,833
243156,0.0133,4,898
243166,0.0133,4,898
174972,0.0014,5,719
67345,0.0038,5,738
175197,0.0078,6,733
67329,0.0063,6,738
175123,0,7,674
175100,0.0007,7,675
245026,0.0007,7,675
175130,0.0004,7,685
175156,0.0003,7,696
175131,0.0003,7,698
67450,0.0036,7,702
243605,0,7,710
243613,0,7,710
243627,0,7,710
175153,0,7,711
175151,0,7,712
175116,0.0004,7,713
175149,0,7,716
67085,0,7,716
38899,0.0018,7,716
67081,0.0018,7,716
39092,0.0018,7,716
67072,0.0004,7,717
39343,0.0008,7,717
39351,0.0008,7,717
67066,0.0008,7,717
67210,0.0008,7,717
39363,0.0008,7,717
39382,0,7,719
67202,0,7,719
175090,0,7,719
39395,0,7,719
67198,0,7,719
67195,0,7,719
39406,0,7,719
67191,0,7,719
38917,0,7,719
67183,0,7,719
67180,0,7,719
38933,0,7,719
67175,0,7,719
39304,0,7,719
67170,0,7,719
38949,0,7,719
39011,0.0002,7,719
38970,0.0002,7,719
67162,0.0002,7,719
67167,0.0002,7,719
67157,0.0002,7,719
38985,0.0002,7,719
39000,0.0002,7,719
39032,0.0002,7,719
39053,0,7,720
39065,0,7,720
67153,0,7,720
39113,0,7,720
67145,0,7,720
67150,0,7,720
39137,0,7,720
67140,0,7,720
67131,0,7,720
39159,0,7,720
67128,0,7,720
67125,0.0004,7,724
243638,0.0004,7,724
243647,0.0004,7,724
175110,0.0004,7,724
67065,0,7,724
67182,0,7,724
39180,0,7,724
67160,0,7,724
67064,0,7,724
39195,0,7,724
39216,0,7,724
175147,0,7,725
39237,0.0009,7,725
67106,0.0009,7,725
39253,0.0009,7,725
67099,0.0009,7,725
175148,0,7,725
39271,0.0004,7,728
67095,0.0004,7,728
243260,0,7,729
175138,0.0015,7,730
175137,0,7,732
175128,0.0007,7,733
175083,0,7,733
175078,0,7,737
216108,0,7,737
175136,0.0044,6,737
175075,0,6,740
175141,0,6,740
175145,0.0005,5,744
242354,0,5,749
175143,0.0033,5,753
174958,0.0051,6,686
245104,0.0018,6,718
245118,0,6,724
245128,0,6,725
245138,0,6,730
175241,0.0265,6,737
19574,0.0042,6,741
67257,0.0042,6,741
19542,0.0042,6,741
19559,0.0006,6,747
67261,0.0013,6,748
19613,0,6,751
67265,0,6,751
19601,0,6,751
19622,0,6,751
19640,0.0008,6,753
67269,0,6,754
19655,0.0022,6,754
67272,0.0013,6,757
67276,0,6,759
67280,0,6,762
67121,0.0027,6,772
19730,0.0185,6,795
19741,0.0205,6,824
175171,0.0147,6,724
51881,0.0009,6,728
243804,0.0012,6,728
243812,0.0012,6,728
243822,0.0012,6,728
175179,0.0012,6,729
175181,0.0002,6,730
103741,0,6,730
243829,0,6,730
243837,0.0007,6,737
175178,0.0007,6,737
175187,0.0007,6,737
67052,0,6,748
243847,0.0025,6,764
67116,0.0009,6,775
67118,0.0009,6,775
67058,0.0023,6,783
39336,0.0039,6,790
67113,0.0039,6,791
67114,0.0003,6,794
51895,0,6,796
51908,0,6,796
243860,0.0017,6,796
243872,0.0017,6,796
39333,0.0046,6,811
67061,0.0046,6,815
39331,0.008,6,855
243880,0.008,6,855
39328,0,6,857
67361,0.0064,6,714
174921,0.0064,6,714
67435,0.0071,6,719
67478,0.0071,6,722
243767,0.0057,6,732
243773,0.0057,6,732
243779,0.0057,6,732
67285,0.0036,6,749
67305,0.0046,6,752
67349,0.0049,5,764
67373,0.0054,5,773
245219,0.1451,4,1084
245224,0.1451,4,1084
175205,0,6,734
175209,0.0014,6,734
103737,0.0174,6,770
174977,0.0108,6,773
230072,0.0033,6,778
229995,0,6,778
229917,0.0038,6,780
230001,0.0088,6,788
67117,0.0031,5,806
229929,0.0067,5,816
230035,0.0067,5,816
67053,0.0082,5,821
243079,0.0174,5,875
243091,0.0174,5,875
230078,0,6,736
230084,0,6,737
229951,0,6,738
230088,0,6,738
230091,0.0015,6,740
243398,0.0015,6,740
243410,0.0015,6,740
230095,0.0036,6,741
229956,0.0023,6,743
229958,0.0015,6,747
229961,0.0034,6,750
229965,0.0026,6,752
229967,0.0022,6,756
229968,0,6,758
229971,0.0009,6,759
67115,0.0048,6,766
175162,0,6,694
245157,0.003,6,708
245174,0.0014,5,770
245191,0.0208,5,881
245203,0.0208,5,881
229974,0.0026,6,766
229976,0.0002,6,767
